EntityID,EntityName,EntityRoleID,EntityRoleName,CountryID,CountryName,StateID,StateName,CityID,CityName
2221,Hillberry Farm,2,Facility,215,United States,3608,North Carolina,133962,Garland
2357,Perros,3,Growing Area,40,Chile,600,Tarapaca,11276,Iquique
3092,Arnott Farms,3,Growing Area,215,United States,3585,California,0,(Not Specified)
3316,Agr. El Peumo,2,Facility,40,Chile,0,(Not Specified),0,(Not Specified)
3491,Antonio Toscano,2,Facility,135,Mexico,2136,Michoacan,127775,Tocumbo
3506,Arturo Magaña Mendoza,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
3632,Carlos Novoa Reyes,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
3633,Carlos Oseguera Sanchez,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
3746,DAVID CRISTOBAL GODINEZ,2,Facility,135,Mexico,2136,Michoacan,127882,Acuitzio
3748,David Liberto Simon,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
3806,EDGAR IVAN NOVOA GONZALES,2,Facility,135,Mexico,2136,Michoacan,127841,Periban
3807,Edgar Oseguera Jimenez,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
3842,Ernesto Barragan Torres,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
3845,Evans Brothers Blueberries,2,Facility,215,United States,3590,Florida,0,(Not Specified)
3897,Fresh Cut,2,Facility,0,(Not Specified),0,(Not Specified),0,(Not Specified)
4076,"J&D Produce, Inc.",2,Facility,135,Mexico,2128,Colima,59015,Colima
4082,Jaime Buenrostro VAlencia,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
4109,Jorge Alfredo Valencia Soto,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
4113,Jose Barajas Garcia,2,Facility,135,Mexico,2136,Michoacan,127858,Los Reyes
4641,Shamoon,2,Facility,0,(Not Specified),0,(Not Specified),0,(Not Specified)
4704,Stella Farms,2,Facility,0,(Not Specified),0,(Not Specified),0,(Not Specified)
4763,Taylor Orchards,2,Facility,0,(Not Specified),0,(Not Specified),0,(Not Specified)
5490,Carlos Nova Reyes,4,Harvest Crew,135,Mexico,2136,Michoacan,127858,Los Reyes
5952,Agrícola La Trapa S.A,2,Facility,40,Chile,595,O'Higgins Region,0,(Not Specified)
6696,Agricola Omega - Mexicali,2,Facility,135,Mexico,2122,Baja California,58435,Mexicali
6697,Anthony Marano - Chicago,2,Facility,215,United States,3595,Illinois,112974,Chicago
6698,Club Chef - Covington,2,Facility,215,United States,3598,Kentucky,114238,Covington
6699,East Coast Fresh Cuts - Laurel,2,Facility,215,United States,3601,Maryland,115319,Laurel
6700,Field Fresh Foods - Gardena,2,Facility,215,United States,3585,California,109995,Gardena
6703,FreshPoint Atlanta,2,Facility,215,United States,3591,Georgia,112085,Fairburn
6704,FreshPoint Central California,2,Facility,215,United States,3585,California,110618,Turlock
6705,FreshPoint Central Florida,2,Facility,215,United States,3590,Florida,111675,Orlando
6706,FreshPoint Connecticut,2,Facility,215,United States,3587,Connecticut,110995,Hartford
6707,FreshPoint Denver,2,Facility,215,United States,3586,Colorado,110776,Denver
6708,FreshPoint Nanaimo,2,Facility,35,Canada,509,British Columbia,10356,Nanaimo
6709,FreshPoint Nashville - Tomato,2,Facility,215,United States,3623,Tennessee,122662,Nashville
6710,FreshPoint South Florida,2,Facility,215,United States,3590,Florida,111732,Pompano Beach
6712,FreshPoint Vancouver,2,Facility,35,Canada,509,British Columbia,10395,Vancouver
6713,FreshPoint Vancouver Foodservice,2,Facility,35,Canada,509,British Columbia,10395,Vancouver
6717,Go Fresh - Minneapolis,2,Facility,215,United States,3604,Minnesota,116385,Minneapolis
6718,Grimmway Farms - Arvin,2,Facility,215,United States,3585,California,109679,Arvin
6719,Hortalizas El Retoño - Mexicali,2,Facility,135,Mexico,2122,Baja California,58435,Mexicali
6720,Mann Packing  - Salinas,2,Facility,215,United States,3585,California,110457,Salinas
6721,Mann Packing  - Yuma,2,Facility,215,United States,3584,Arizona,109635,Yuma
6722,Promotora Agricola El Toro - Cd Morelos,2,Facility,135,Mexico,2122,Baja California,58395,Ciudad Morelos
6723,"Reser's Fine Foods, Inc_Linares",2,Facility,135,Mexico,2139,Nuevo Leon,61228,Linares
6724,Simply Fresh Fruit_Vernon,2,Facility,215,United States,3585,California,132949,Vernon
6727,Taylor Farms - Annapolis Junction,2,Facility,215,United States,3601,Maryland,142257,Annapolis Junction
6729,Taylor Farms - Orlando,2,Facility,215,United States,3590,Florida,111675,Orlando
6730,Taylor Farms - Smyrna,2,Facility,215,United States,3623,Tennessee,122717,Smyrna
6735,The Garlic Company - Bakersfield,2,Facility,215,United States,3585,California,109693,Bakersfield
6736,True Leaf Farms - San Juan Bautista,2,Facility,215,United States,3585,California,110476,San Juan Bautista
6737,True Leaf Farms - Yuma,2,Facility,215,United States,3584,Arizona,109635,Yuma
6740,Wholesale Produce Supply Company - Minneapolis,2,Facility,215,United States,3604,Minnesota,116385,Minneapolis
6741,FreshPoint Southern California,2,Facility,215,United States,3585,California,0,(Not Specified)
6761,Pruebas facility,2,Facility,135,Mexico,2145,Sinaloa,62483,Culiacan
6901,"KN Berry Farm - Field #2, #3, #4",3,Growing Area,215,United States,3628,Washington,124645,Lynden
6902,KN Berry Farm Field #1A/#1B,3,Growing Area,215,United States,3628,Washington,124645,Lynden
7154,Neger Farms,3,Growing Area,35,Canada,509,British Columbia,10302,Abbotsford
7160,Howe Chong Inc. & Wah Chong Farms Inc.,3,Growing Area,35,Canada,509,British Columbia,10324,Delta
7169,Southern Ontario Produce Ltd.,2,Facility,35,Canada,514,Ontario,0,(Not Specified)
7174,Herman Farms,4,Harvest Crew,215,United States,3603,Michigan,115764,Benton Harbor
7178,Southern Ontario Produce Ltd.,4,Harvest Crew,35,Canada,514,Ontario,0,(Not Specified)
7209,Arjuna Berry Farms Ltd.,3,Growing Area,35,Canada,509,British Columbia,10302,Abbotsford
7277,HORTIFRUT PERU SAC,4,Harvest Crew,160,Peru,2472,La Libertad,70097,Trujillo
7278,Agrícola Cerrillos de Tamaya S.A.,3,Growing Area,40,Chile,594,Coquimbo Region,11213,Ovalle
7399,Tolucua Blackberry Farm,3,Growing Area,215,United States,3608,North Carolina,134807,Lawndale
7419,Frutícola Denisse Maribel Del Carmen Salinas Martinez EIRL,2,Facility,40,Chile,597,Maule Region,11232,Curico
7457,*TEST Ranch 1*,3,Growing Area,215,United States,3585,California,110457,Salinas
7458,*TEST Facility 1*,2,Facility,215,United States,3585,California,110457,Salinas
7465,Botden Orchards Ltd.,4,Harvest Crew,35,Canada,514,Ontario,155280,Thornbury
7585,El Arrayán,2,Facility,40,Chile,588,Valparaiso,0,(Not Specified)
7635,Laux Land #7,3,Growing Area,215,United States,3585,California,110390,Porterville
7745,TEST Ranch 3,3,Growing Area,215,United States,3585,California,110457,Salinas
7746,Test Ranch 2,3,Growing Area,215,United States,3585,California,110457,Salinas
7747,TEST Facility 2,2,Facility,215,United States,3585,California,110457,Salinas
7748,Test Facility 3,2,Facility,215,United States,3585,California,110457,Salinas
7817,Swanton Ranch,4,Harvest Crew,215,United States,3585,California,137143,Davenport
8761,Patates Dolbec inc.,3,Growing Area,35,Canada,516,Quebec,0,(Not Specified)
8763,Patates Dolbec inc.,4,Harvest Crew,35,Canada,516,Quebec,0,(Not Specified)
9842,30 Crew,4,Harvest Crew,215,United States,3585,California,110095,King City
10021,Ranch Not Applicable,3,Growing Area,215,United States,3585,California,110499,Santa Maria
10245,Siito Alto Galo,3,Growing Area,27,Brazil,387,Espirito Santo,0,(Not Specified)
